,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA,,,,
Climate Path Electricity Geneneration,Biomass,GWh,2025,"  751,999.08 ","  196,746.69 ","  3,415.95 ","  3,226.42 ","  74,131.66 ","  12,441.66 ","  59,377.13 ","  187,354.98 ","  79,925.70 ","  18,043.15 ","  117,335.74 ",,,,
Climate Path Electricity Geneneration,Biomass,GWh,2026,"  696,529.32 ","  197,195.17 ","  4,024.35 ","  2,325.01 ","  71,225.12 ","  11,753.03 ","  52,474.85 ","  153,651.55 ","  61,481.10 ","  24,544.91 ","  117,854.22 ",,,,
Climate Path Electricity Geneneration,Biomass,GWh,2027,"  705,414.91 ","  216,164.72 ","  4,968.71 ","  2,389.96 ","  69,427.99 ","  13,424.62 ","  51,081.88 ","  145,388.38 ","  49,517.82 ","  32,742.40 ","  120,308.43 ",,,,
Climate Path Electricity Geneneration,Biomass,GWh,2028,"  752,236.91 ","  240,343.92 ","  4,676.45 ","  2,958.50 ","  66,999.27 ","  16,189.44 ","  54,557.56 ","  155,016.43 ","  43,897.15 ","  46,204.30 ","  121,393.88 ",,,,
Climate Path Electricity Geneneration,Biomass,GWh,2029,"  818,624.39 ","  266,509.46 ","  6,334.49 ","  3,505.83 ","  66,426.26 ","  18,294.45 ","  58,242.95 ","  167,086.19 ","  42,200.70 ","  70,646.87 ","  119,377.19 ",,,,
Climate Path Electricity Geneneration,Biomass,GWh,2030,"  905,523.80 ","  289,377.34 ","  12,892.91 ","  4,078.54 ","  67,243.26 ","  20,296.69 ","  61,427.77 ","  170,886.27 ","  41,552.90 ","  120,899.95 ","  116,868.16 ",,,,
Climate Path Electricity Geneneration,Nuclear,GWh,2025,"  2,644,221.90 ","  394,041.10 ","  65,518.45 ","  35,659.05 ","  829,521.99 ","  280,270.24 ",  -   ,"  733,371.04 ","  34,991.20 ","  12,020.75 ","  258,828.07 ",,,,
Climate Path Electricity Geneneration,Nuclear,GWh,2026,"  2,663,073.03 ","  397,079.20 ","  65,554.61 ","  41,906.20 ","  826,241.22 ","  263,096.98 ",  -   ,"  723,294.35 ","  40,115.55 ","  12,012.68 ","  293,772.24 ",,,,
Climate Path Electricity Geneneration,Nuclear,GWh,2027,"  2,674,721.38 ","  403,954.25 ","  68,164.95 ","  43,927.01 ","  826,452.32 ","  253,820.26 ",  -   ,"  701,304.23 ","  40,949.00 ","  12,109.91 ","  324,039.44 ",,,,
Climate Path Electricity Geneneration,Nuclear,GWh,2028,"  2,717,627.96 ","  408,009.42 ","  79,740.94 ","  46,498.11 ","  827,020.87 ","  258,969.84 ",  -   ,"  684,125.84 ","  40,478.75 ","  12,133.78 ","  360,650.42 ",,,,
Climate Path Electricity Geneneration,Nuclear,GWh,2029,"  2,775,792.91 ","  415,264.22 ","  86,527.28 ","  53,267.48 ","  827,035.09 ","  263,623.06 ",  -   ,"  673,736.21 ","  40,339.34 ","  12,103.15 ","  403,897.06 ",,,,
Climate Path Electricity Geneneration,Nuclear,GWh,2030,"  2,854,098.48 ","  441,593.55 ","  87,797.41 ","  60,491.75 ","  826,702.89 ","  269,158.00 ",  -   ,"  671,526.74 ","  40,285.78 ","  12,089.22 ","  444,453.13 ",,,,
,,,,,,,,,,,,,,,,,,
Climate Path Installed Capacity,Solar,GW,2025,"  2,235.22 ",  791.62 ,  152.65 ,  101.04 ,  334.52 ,  41.12 ,  52.88 ,  394.47 ,  83.42 ,  29.44 ,  246.07 ,,,,
Climate Path Installed Capacity,Solar,GW,2026,"  2,794.78 ",  965.16 ,  229.80 ,  150.02 ,  429.22 ,  57.83 ,  67.58 ,  460.78 ,  97.78 ,  37.33 ,  281.18 ,,,,
Climate Path Installed Capacity,Solar,GW,2027,"  3,449.69 ","  1,148.29 ",  328.87 ,  214.42 ,  546.36 ,  82.32 ,  88.02 ,  530.49 ,  112.98 ,  47.38 ,  309.61 ,,,,
Climate Path Installed Capacity,Solar,GW,2028,"  4,258.88 ","  1,355.66 ",  436.60 ,  307.38 ,  693.29 ,  107.83 ,  135.81 ,  608.62 ,  129.07 ,  57.38 ,  352.52 ,,,,
Climate Path Installed Capacity,Solar,GW,2029,"  5,231.36 ","  1,563.75 ",  562.17 ,  441.16 ,  868.42 ,  135.92 ,  228.38 ,  713.45 ,  146.68 ,  67.88 ,  385.52 ,,,,
Climate Path Installed Capacity,Solar,GW,2030,"  6,505.18 ","  1,804.94 ",  718.44 ,  633.86 ,"  1,082.45 ",  177.36 ,  365.55 ,  851.41 ,  166.77 ,  80.23 ,  419.13 ,,,,
Climate Path Installed Capacity,Wind,GW,2025,"  1,387.65 ",  566.18 ,  69.98 ,  28.24 ,  227.00 ,  22.29 ,  21.54 ,  314.36 ,  87.36 ,  14.59 ,  43.94 ,,,,
Climate Path Installed Capacity,Wind,GW,2026,"  1,616.84 ",  692.09 ,  80.24 ,  34.15 ,  256.76 ,  29.11 ,  29.00 ,  348.52 ,  96.24 ,  15.03 ,  54.85 ,,,,
Climate Path Installed Capacity,Wind,GW,2027,"  1,878.42 ",  842.86 ,  95.99 ,  42.20 ,  290.11 ,  37.57 ,  38.75 ,  381.51 ,  105.93 ,  16.35 ,  61.76 ,,,,
Climate Path Installed Capacity,Wind,GW,2028,"  2,229.24 ","  1,051.13 ",  118.35 ,  54.18 ,  328.21 ,  49.84 ,  50.27 ,  423.92 ,  116.70 ,  18.31 ,  74.07 ,,,,
Climate Path Installed Capacity,Wind,GW,2029,"  2,670.40 ","  1,332.42 ",  151.19 ,  68.22 ,  372.01 ,  64.31 ,  65.42 ,  473.60 ,  128.02 ,  19.83 ,  83.16 ,,,,
Climate Path Installed Capacity,Wind,GW,2030,"  3,205.42 ","  1,662.18 ",  199.24 ,  84.09 ,  424.19 ,  80.61 ,  84.00 ,  528.71 ,  144.14 ,  20.92 ,  94.22 ,,,,
Climate Path Installed Capacity,Hydropower,GW,2025,"  1,452.91 ",  407.04 ,  101.71 ,  56.70 ,  185.41 ,  80.90 ,  67.58 ,  217.83 ,  212.13 ,  52.76 ,  70.60 ,,,,
Climate Path Installed Capacity,Hydropower,GW,2026,"  1,508.23 ",  413.88 ,  111.53 ,  59.50 ,  189.05 ,  90.65 ,  72.57 ,  220.31 ,  218.03 ,  58.24 ,  74.11 ,,,,
Climate Path Installed Capacity,Hydropower,GW,2027,"  1,554.18 ",  427.56 ,  117.16 ,  61.98 ,  192.16 ,  94.57 ,  79.46 ,  222.49 ,  221.44 ,  60.92 ,  75.96 ,,,,
Climate Path Installed Capacity,Hydropower,GW,2028,"  1,584.73 ",  432.10 ,  124.82 ,  65.43 ,  195.72 ,  96.10 ,  80.86 ,  223.24 ,  222.46 ,  64.69 ,  78.59 ,,,,
Climate Path Installed Capacity,Hydropower,GW,2029,"  1,616.72 ",  439.52 ,  131.46 ,  68.37 ,  199.58 ,  97.65 ,  86.51 ,  224.19 ,  223.16 ,  66.25 ,  79.34 ,,,,
Climate Path Installed Capacity,Hydropower,GW,2030,"  1,670.22 ",  452.50 ,  147.52 ,  70.66 ,  204.88 ,  99.49 ,  91.31 ,  226.13 ,  224.51 ,  72.14 ,  79.87 ,,,,
Climate Path Installed Capacity,Geothermal,GW,2025,  21.41 ,  0.03 ,  0.01 ,  1.99 ,  4.28 ,  0.09 ,  6.42 ,  1.88 ,  2.33 ,  2.58 ,  1.77 ,,,,
Climate Path Installed Capacity,Geothermal,GW,2026,  25.83 ,  0.71 ,  0.19 ,  2.61 ,  4.46 ,  0.73 ,  6.72 ,  2.36 ,  2.55 ,  3.10 ,  2.37 ,,,,
Climate Path Installed Capacity,Geothermal,GW,2027,  31.06 ,  2.09 ,  0.34 ,  4.31 ,  4.68 ,  1.46 ,  6.90 ,  2.97 ,  2.55 ,  3.09 ,  2.61 ,,,,
Climate Path Installed Capacity,Geothermal,GW,2028,  34.81 ,  3.10 ,  0.70 ,  5.85 ,  5.06 ,  1.75 ,  6.87 ,  3.13 ,  2.53 ,  3.08 ,  2.72 ,,,,
Climate Path Installed Capacity,Geothermal,GW,2029,  38.50 ,  3.85 ,  1.10 ,  6.80 ,  5.92 ,  2.00 ,  6.88 ,  3.60 ,  2.50 ,  3.06 ,  2.80 ,,,,
Climate Path Installed Capacity,Geothermal,GW,2030,  41.14 ,  3.85 ,  1.48 ,  7.41 ,  6.89 ,  2.17 ,  6.88 ,  4.15 ,  2.48 ,  3.05 ,  2.84 ,,,,
Climate Path Installed Capacity,Biomass,GW,2025,  182.90 ,  43.17 ,  12.49 ,  2.69 ,  17.78 ,  2.03 ,  9.82 ,  48.97 ,  23.67 ,  4.92 ,  17.39 ,,,,
Climate Path Installed Capacity,Biomass,GW,2026,  192.11 ,  44.99 ,  12.69 ,  3.14 ,  17.93 ,  2.71 ,  10.01 ,  51.02 ,  23.70 ,  10.55 ,  17.73 ,,,,
Climate Path Installed Capacity,Biomass,GW,2027,  200.06 ,  46.68 ,  12.60 ,  3.64 ,  17.89 ,  3.04 ,  10.08 ,  52.83 ,  23.64 ,  22.81 ,  17.87 ,,,,
Climate Path Installed Capacity,Biomass,GW,2028,  208.98 ,  48.64 ,  12.51 ,  4.04 ,  17.92 ,  3.38 ,  10.03 ,  54.55 ,  23.51 ,  47.24 ,  17.88 ,,,,
Climate Path Installed Capacity,Biomass,GW,2029,  220.53 ,  51.07 ,  12.54 ,  4.34 ,  17.95 ,  3.72 ,  9.99 ,  56.12 ,  23.30 ,  89.23 ,  17.76 ,,,,
Climate Path Installed Capacity,Biomass,GW,2030,  238.29 ,  53.80 ,  12.84 ,  4.65 ,  18.05 ,  3.91 ,  10.00 ,  57.36 ,  23.05 ,  152.18 ,  17.64 ,,,,
Climate Path Installed Capacity,Nuclear,GW,2025,  392.35 ,  55.37 ,  12.04 ,  6.31 ,  104.31 ,  44.32 , - ,  102.74 ,  6.33 ,  1.85 ,  58.92 ,,,,
Climate Path Installed Capacity,Nuclear,GW,2026,  396.82 ,  56.73 ,  12.05 ,  6.35 ,  104.67 ,  45.31 , - ,  102.71 ,  6.34 ,  1.87 ,  60.51 ,,,,
Climate Path Installed Capacity,Nuclear,GW,2027,  405.89 ,  57.24 ,  14.96 ,  6.63 ,  105.03 ,  45.75 , - ,  104.39 ,  6.35 ,  1.88 ,  63.21 ,,,,
Climate Path Installed Capacity,Nuclear,GW,2028,  409.77 ,  57.84 ,  16.04 ,  7.76 ,  105.40 ,  46.70 , - ,  102.35 ,  6.36 ,  1.87 ,  64.87 ,,,,
Climate Path Installed Capacity,Nuclear,GW,2029,  418.77 ,  62.04 ,  16.08 ,  8.76 ,  105.78 ,  47.65 , - ,  103.98 ,  6.40 ,  1.87 ,  65.54 ,,,,
Climate Path Installed Capacity,Nuclear,GW,2030,  427.33 ,  68.08 ,  16.15 ,  9.91 ,  106.20 ,  47.58 ,  -   ,  104.53 ,  6.41 ,  1.88 ,  65.91 ,,,,
,,,,,,,,,,,,,,,,,,
Climate Path CAGR Checks,,,,,,,,,,,,,,,,,,
Climate Path CAGR,Solar Generation,%,2024-2030,26.5%,22.0%,40.0%,50.0%,30.5%,40.0%,40.1%,16.7%,18.0%,24.6%,15.0%,,,,
Climate Path CAGR,Wind Generation,%,2024-2030,19.7%,25.0%,25.0%,25.0%,15.0%,40.1%,35.0%,12.0%,14.0%,15.6%,25.0%,,,,
Climate Path CAGR,Hydropower Gen,%,2024-2030,3.6%,3.0%,11.0%,4.0%,2.0%,4.0%,7.0%,1.0%,2.0%,11.0%,4.0%,,,,
Climate Path CAGR,Geothermal Gen,%,2024-2030,13.6%,121.0%,681.0%,25.0%,7.0%,65.0%,6.0%,11.0%,1.0%,18.0%,8.0%,,,,
Climate Path CAGR,Biomass Generation,%,2024-2030,1.9%,5.0%,23.0%,0.0%,-3.0%,8.0%,0.0%,-2.4%,-14.0%,46.3%,0.0%,,,,
Climate Path CAGR,Nuclear Generation,%,2024-2030,1.4%,2.0%,5.0%,10.0%,0.0%,-1.0%,-,-2.0%,3.0%,0.0%,12.0%,,,,
,,,,,,,,,,,,,,,,,,
Climate Path CAGR Check,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Climate Path CAGR Check,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Climate Path CAGR Check,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Climate Path CAGR Check,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Climate Path CAGR Check,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Climate Path CAGR Check,,,,,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,,,,
,,,,,,,,,,,,,,,,,,
Climate Path Additional Electricity Generation,,,,,,,,,,,,,,,,,,
Climate Path Additional Electricity Gen,Solar,GWh,2025,"  200,526.85 ","  36,586.18 ","  26,745.58 ","  31,337.36 ","  62,068.68 ","  4,956.16 ","  12,115.80 ","  15,301.21 ","  4,572.12 ","  1,116.65 ","  5,727.12 ",,,,
Climate Path Additional Electricity Gen,Solar,GWh,2026,"  514,033.88 ","  92,067.95 ","  69,775.73 ","  84,480.02 ","  161,212.75 ","  13,686.72 ","  29,516.77 ","  35,957.10 ","  11,033.11 ","  2,748.86 ","  13,554.86 ",,,,
Climate Path Additional Electricity Gen,Solar,GWh,2027,"  985,179.87 ","  167,701.60 ","  144,001.22 ","  179,246.14 ","  302,348.93 ","  27,817.32 ","  53,201.84 ","  62,935.77 ","  19,484.90 ","  5,224.53 ","  23,217.62 ",,,,
Climate Path Additional Electricity Gen,Solar,GWh,2028,"  1,655,169.93 ","  266,426.50 ","  261,470.19 ","  323,513.36 ","  495,538.47 ","  50,216.22 ","  87,030.55 ","  97,102.49 ","  30,098.71 ","  8,853.30 ","  34,920.13 ",,,,
Climate Path Additional Electricity Gen,Solar,GWh,2029,"  2,580,622.74 ","  389,928.34 ","  420,541.36 ","  543,059.41 ","  751,989.17 ","  80,229.34 ","  151,454.42 ","  137,421.71 ","  42,998.53 ","  13,336.77 ","  49,663.69 ",,,,
Climate Path Additional Electricity Gen,Solar,GWh,2030,"  3,838,303.99 ","  534,445.77 ","  624,748.08 ","  873,861.55 ","  1,082,592.17 ","  118,054.12 ","  277,034.41 ","  184,313.83 ","  58,490.34 ","  18,603.48 ","  66,160.25 ",,,,
Climate Path Additional Electricity Gen,Wind,GWh,2025,"  214,099.90 ","  119,474.40 ","  11,817.76 ","  3,693.54 ","  32,912.52 ","  5,578.59 ","  4,122.14 ","  28,408.23 ","  7,700.39 ",  (174.50),  566.83 ,,,,
Climate Path Additional Electricity Gen,Wind,GWh,2026,"  500,271.78 ","  280,710.41 ","  27,440.93 ","  8,758.58 ","  74,373.51 ","  16,215.33 ","  10,800.13 ","  62,580.05 ","  18,298.21 ",  (451.62),"  1,546.26 ",,,,
Climate Path Additional Electricity Gen,Wind,GWh,2027,"  867,943.41 ","  490,949.33 ","  46,568.85 ","  15,680.74 ","  124,939.72 ","  32,634.48 ","  20,897.19 ","  103,278.49 ","  30,831.22 ",  (770.58),"  2,933.97 ",,,,
Climate Path Additional Electricity Gen,Wind,GWh,2028,"  1,338,127.19 ","  763,657.79 ","  72,532.41 ","  25,527.37 ","  186,268.39 ","  55,288.06 ","  35,769.38 ","  150,011.86 ","  45,490.65 ","  (1,156.45)","  4,737.73 ",,,,
Climate Path Additional Electricity Gen,Wind,GWh,2029,"  1,962,385.69 ","  1,134,107.72 ","  110,522.25 ","  40,052.83 ","  259,909.78 ","  87,605.28 ","  56,368.05 ","  205,701.91 ","  62,530.78 ","  (1,651.26)","  7,238.35 ",,,,
Climate Path Additional Electricity Gen,Wind,GWh,2030,"  2,800,360.74 ","  1,645,719.07 ","  169,488.25 ","  59,793.16 ","  347,433.54 ","  130,445.87 ","  84,752.90 ","  272,327.49 ","  82,411.04 ","  (2,204.68)","  10,194.11 ",,,,
Climate Path Additional Electricity Gen,Hydropower,GWh,2025,"  6,911.88 ","  (1,462.39)","  (1,053.59)",  (203.11),"  7,764.37 ",  561.59 ,  774.78 ,  526.22 ,  (227.53),  (143.40),  374.94 ,,,,
Climate Path Additional Electricity Gen,Hydropower,GWh,2026,"  13,544.27 ","  (3,077.69)","  (2,511.73)",  (412.12),"  15,758.30 ","  1,142.91 ","  1,635.32 ","  1,042.35 ",  (466.92),  (339.92),  773.75 ,,,,
Climate Path Additional Electricity Gen,Hydropower,GWh,2027,"  20,394.55 ","  (4,802.45)","  (4,170.05)",  (657.84),"  23,854.65 ","  1,894.64 ","  2,713.80 ","  1,630.30 ",  (722.39),  (576.10),"  1,230.01 ",,,,
Climate Path Additional Electricity Gen,Hydropower,GWh,2028,"  27,445.60 ","  (6,597.17)","  (5,899.14)",  (908.13),"  32,243.87 ","  2,615.95 ","  3,895.59 ","  2,206.76 ",  (986.25),  (832.54),"  1,706.67 ",,,,
Climate Path Additional Electricity Gen,Hydropower,GWh,2029,"  34,069.30 ","  (8,373.06)","  (8,283.25)","  (1,191.82)","  40,948.12 ","  3,337.63 ","  5,062.82 ","  2,761.03 ","  (1,248.68)","  (1,127.70)","  2,184.23 ",,,,
Climate Path Additional Electricity Gen,Hydropower,GWh,2030,"  41,140.37 ","  (10,200.87)","  (10,775.22)","  (1,489.02)","  49,992.41 ","  4,083.71 ","  6,464.51 ","  3,311.86 ","  (1,508.48)","  (1,454.74)","  2,716.21 ",,,,
Climate Path Additional Electricity Gen,Geothermal,GWh,2025,  338.58 ,  0.26 ,  0.00 ,  (38.82),  441.53 ,  1.07 ,  (80.75),  (6.82),  25.84 ,  (26.49),  22.75 ,,,,
Climate Path Additional Electricity Gen,Geothermal,GWh,2026,  662.96 ,  1.11 ,  0.00 ,  (83.07),  917.49 ,  2.64 ,  (184.26),  (14.10),  53.85 ,  (78.39),  47.69 ,,,,
Climate Path Additional Electricity Gen,Geothermal,GWh,2027,  983.40 ,  8.91 ,  0.03 ,  (155.80),"  1,429.45 ",  12.94 ,  (301.41),  (24.51),  83.36 ,  (153.56),  83.99 ,,,,
Climate Path Additional Electricity Gen,Geothermal,GWh,2028,"  1,292.06 ",  29.69 ,  0.20 ,  (305.06),"  1,985.49 ",  35.03 ,  (421.27),  (38.55),  111.02 ,  (228.47),  123.99 ,,,,
Climate Path Additional Electricity Gen,Geothermal,GWh,2029,"  1,675.52 ",  61.91 ,  0.66 ,  (507.95),"  2,652.45 ",  58.72 ,  (537.56),  (51.83),  137.41 ,  (300.38),  162.10 ,,,,
Climate Path Additional Electricity Gen,Geothermal,GWh,2030,"  2,295.90 ",  100.83 ,  1.57 ,  (723.03),"  3,562.28 ",  86.85 ,  (653.51),  (69.24),  162.19 ,  (372.05),  200.00 ,,,,
Climate Path Additional Electricity Gen,Biomass,GWh,2025,"  24,408.97 ","  7,655.99 ",  (16.23),  (7.61),  650.93 ,  58.97 ,  655.02 ,"  6,034.99 ",  152.14 ,"  8,673.75 ",  551.01 ,,,,
Climate Path Additional Electricity Gen,Biomass,GWh,2026,"  47,082.98 ","  14,381.37 ",  (34.06),  (11.51),"  1,217.92 ",  112.80 ,"  1,205.15 ","  10,478.74 ",  235.20 ,"  18,393.32 ","  1,104.06 ",,,,
Climate Path Additional Electricity Gen,Biomass,GWh,2027,"  70,932.94 ","  22,250.06 ",  (59.73),  (16.19),"  1,751.69 ",  182.51 ,"  1,719.94 ","  14,281.30 ",  280.16 ,"  28,865.69 ","  1,677.51 ",,,,
Climate Path Additional Electricity Gen,Biomass,GWh,2028,"  101,656.46 ","  31,617.90 ",  (78.11),  (24.52),"  2,236.12 ",  281.15 ,"  2,363.41 ","  19,225.18 ",  321.30 ,"  43,462.06 ","  2,251.96 ",,,,
Climate Path Additional Electricity Gen,Biomass,GWh,2029,"  144,910.05 ","  42,464.53 ",  (126.51),  (34.62),"  2,739.21 ",  391.06 ,"  3,079.71 ","  24,863.06 ",  373.43 ,"  68,383.89 ","  2,776.28 ",,,,
Climate Path Additional Electricity Gen,Biomass,GWh,2030,"  213,445.77 ","  54,056.12 ",  (285.64),  (46.88),"  3,286.44 ",  516.41 ,"  3,836.43 ","  29,765.65 ",  429.66 ,"  118,619.90 ","  3,267.68 ",,,,
Climate Path Additional Electricity Gen,Nuclear,GWh,2025,"  1,848.93 ","  1,904.77 ",  (44.55),  73.85 ,"  2,835.02 ",  (929.69),  -   ,"  (1,971.69)",  58.68 ,  (51.49),  (25.98),,,,
Climate Path Additional Electricity Gen,Nuclear,GWh,2026,"  3,879.15 ","  3,824.31 ",  (89.16),  163.76 ,"  5,658.78 ","  (1,787.17)",  -   ,"  (3,857.19)",  128.04 ,  (102.87),  (59.35),,,,
Climate Path Additional Electricity Gen,Nuclear,GWh,2027,"  6,128.51 ","  5,800.81 ",  (137.34),  261.94 ,"  8,474.26 ","  (2,585.53)",  -   ,"  (5,631.20)",  200.25 ,  (155.30),  (99.37),,,,
Climate Path Additional Electricity Gen,Nuclear,GWh,2028,"  8,352.14 ","  7,793.12 ",  (207.11),  371.71 ,"  11,285.19 ","  (3,471.80)",  -   ,"  (7,331.97)",  268.82 ,  (207.85),  (148.00),,,,
Climate Path Additional Electricity Gen,Nuclear,GWh,2029,"  10,668.99 ","  9,875.79 ",  (279.10),  525.60 ,"  14,082.80 ","  (4,387.62)",  -   ,"  (9,019.06)",  337.84 ,  (259.89),  (207.37),,,,
Climate Path Additional Electricity Gen,Nuclear,GWh,2030,"  13,408.25 ","  12,471.18 ",  (342.22),  710.95 ,"  16,865.01 ","  (5,351.28)",  (0.00),"  (10,765.30)",  406.96 ,  (312.24),  (274.82),,,,
,,,,,,,,,,,,,,,,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2025,"  448,135.12 ","  164,159.22 ","  37,448.98 ","  34,855.22 ","  106,673.04 ","  10,226.68 ","  17,587.00 ","  48,292.13 ","  12,281.65 ","  9,394.53 ","  7,216.67 ",,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2026,"  1,079,475.02 ","  387,907.47 ","  94,581.71 ","  92,895.66 ","  259,138.75 ","  29,373.24 ","  42,973.11 ","  106,186.96 ","  29,281.49 ","  20,169.38 ","  16,967.26 ",,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2027,"  1,951,562.69 ","  681,908.26 ","  186,202.98 ","  194,358.99 ","  462,798.71 ","  59,956.36 ","  78,231.36 ","  176,470.14 ","  50,157.50 ","  32,434.67 ","  29,043.71 ",,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2028,"  3,132,043.37 ","  1,062,927.83 ","  327,818.43 ","  348,174.72 ","  729,557.53 ","  104,964.62 ","  128,637.66 ","  261,175.77 ","  75,304.26 ","  49,890.06 ","  43,592.48 ",,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2029,"  4,734,332.28 ","  1,568,065.23 ","  522,375.40 ","  581,903.45 ","  1,072,321.54 ","  167,234.42 ","  215,427.44 ","  361,676.81 ","  105,129.30 ","  78,381.43 ","  61,817.27 ",,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2030,"  6,908,955.02 ","  2,236,592.10 ","  782,834.83 ","  932,106.73 ","  1,503,731.86 ","  247,835.68 ","  371,434.72 ","  478,884.29 ","  140,391.72 ","  132,879.66 ","  82,263.43 ",,,,
Climate Path Additional Electricity Gen,All Zero-Generation,GWh,2025-2030,"  18,254,503.50 ","  6,101,560.11 ","  1,951,262.33 ","  2,184,294.78 ","  4,134,221.43 ","  619,590.99 ","  854,291.29 ","  1,432,686.11 ","  412,545.91 ","  323,149.72 ","  240,900.82 ",,,,
,,,,,,,,,,,,,,,,,,
Climate Path Displaced Electricity Calculations,,,,,,,,,,,,,,,,,,
DNV Forecast: % of Oil of (Oil+Gas) Gen,Oil Share of Oil+Gas,%,2025,6%,1%,6%,12%,1%,1%,4%,7%,13%,54%,15%,,,,
DNV Forecast: % of Oil of (Oil+Gas) Gen,Oil Share of Oil+Gas,%,2026,6%,1%,6%,11%,1%,1%,3%,5%,13%,50%,12%,,,,
DNV Forecast: % of Oil of (Oil+Gas) Gen,Oil Share of Oil+Gas,%,2027,5%,0%,6%,10%,1%,1%,2%,5%,13%,48%,10%,,,,
DNV Forecast: % of Oil of (Oil+Gas) Gen,Oil Share of Oil+Gas,%,2028,5%,0%,6%,10%,1%,1%,2%,4%,14%,48%,10%,,,,
DNV Forecast: % of Oil of (Oil+Gas) Gen,Oil Share of Oil+Gas,%,2029,5%,0%,6%,9%,1%,1%,2%,4%,14%,49%,10%,,,,
DNV Forecast: % of Oil of (Oil+Gas) Gen,Oil Share of Oil+Gas,%,2030,5%,0%,7%,9%,1%,1%,2%,4%,14%,48%,10%,,,,
,,,,,,,,,,,,,,,,,,
Climate Path Additional Elec Gen Allocation ,Coal,%,2025,52%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
Climate Path Additional Elec Gen Allocation ,Coal,%,2026,52%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
Climate Path Additional Elec Gen Allocation ,Coal,%,2027,51%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
Climate Path Additional Elec Gen Allocation ,Coal,%,2028,51%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
Climate Path Additional Elec Gen Allocation ,Coal,%,2029,51%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
Climate Path Additional Elec Gen Allocation ,Coal,%,2030,51%,87%,85%,6%,20%,23%,62%,21%,5%,82%,70%,,,,
Climate Path Additional Elec Gen Allocation ,Gas,%,2025,45%,13%,14%,83%,79%,76%,36%,73%,83%,8%,26%,,,,
Climate Path Additional Elec Gen Allocation ,Gas,%,2026,46%,13%,14%,84%,79%,76%,37%,75%,83%,9%,27%,,,,
Climate Path Additional Elec Gen Allocation ,Gas,%,2027,46%,13%,14%,85%,79%,76%,37%,75%,82%,9%,27%,,,,
Climate Path Additional Elec Gen Allocation ,Gas,%,2028,47%,13%,14%,85%,79%,76%,37%,75%,82%,9%,27%,,,,
Climate Path Additional Elec Gen Allocation ,Gas,%,2029,47%,13%,14%,85%,79%,76%,37%,75%,82%,9%,27%,,,,
Climate Path Additional Elec Gen Allocation ,Gas,%,2030,47%,13%,14%,85%,79%,76%,37%,76%,82%,9%,27%,,,,
Climate Path Additional Elec Gen Allocation ,Oil,%,2025,2%,0.1%,0.9%,10.8%,0.8%,0.5%,1.6%,5.7%,12.2%,9.7%,4.4%,,,,
Climate Path Additional Elec Gen Allocation ,Oil,%,2026,2%,0.1%,0.9%,9.9%,0.8%,0.5%,1.1%,3.9%,12.1%,9.0%,3.5%,,,,
Climate Path Additional Elec Gen Allocation ,Oil,%,2027,2%,0.1%,0.9%,9.5%,0.8%,0.6%,0.9%,3.6%,12.5%,8.6%,3.1%,,,,
Climate Path Additional Elec Gen Allocation ,Oil,%,2028,2%,0.0%,0.8%,9.1%,0.8%,0.6%,0.8%,3.5%,13.0%,8.7%,3.0%,,,,
Climate Path Additional Elec Gen Allocation ,Oil,%,2029,2%,0.0%,0.9%,8.8%,0.8%,0.6%,0.7%,3.5%,13.2%,8.8%,3.0%,,,,
Climate Path Additional Elec Gen Allocation ,Oil,%,2030,2%,0.0%,1.1%,8.5%,0.8%,0.6%,0.7%,3.5%,13.2%,8.7%,3.0%,,,,
,,,,,,,,,,,,,,,,,,
Climate Path Displaced Electricity,Coal,GWh,2025,"  234,842.76 ","  142,818.53 ","  31,831.63 ","  2,091.31 ","  21,334.61 ","  2,352.14 ","  10,903.94 ","  10,141.35 ",  614.08 ,"  7,703.51 ","  5,051.67 ",,,,
